,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
IFNy ,0.563831387147702,0.5559978084805839,0.5176012172701061,0.5004719159215565,0.41280099907433376,0.3995015055716708,0.3998228568969889,0.41969387840334776,0.4915772326645992,0.3449006982099979,0.0,0.586616779010757,0.4117797154637441,0.49749693449283394,0.34127583136239054,0.5106810147472196,0.4676582819476313,0.5843732207044697,0.41968185460084484,0.6280285361517861,0.6266243893655494,0.6479946237033813,0.35676362968132336,0.461783211980661,0.4780951106374226,0.4322615349030188,0.47482722184734555,0.4240685024958859,0.5718744500861388,0.570502529828349,0.5075902521658644,0.48617258428274296,0.4846865203441523,0.38452613329741375,0.4200732404843783,0.38770531441639466,0.4171471020937131,0.4231965070410475,0.6039435771040248,0.5953131936326289,0.454193017388552,0.5549205375126391,0.5831406219455134,0.6336608581563323,0.41900005753731695,0.21976510184922476,0.5698195755435447,0.6465431689786042,0.39185636227775755,0.509352077413003,0.5672518863423177,0.4171724871979505,0.6387365631993636,0.5901816641037607,0.46138518980761706,0.5565348069468602,0.5330051268064556,0.5725248896935698,0.5657764432667182,0.6206334815486111,0.5303282420600015,0.5602759758333291,0.5761822855386998,0.6284514687554166,0.3594678079129585,0.5137785688961682,0.5627546203293323,0.48286476359591907,0.5416855089466728,0.6266148362128773
IL1a ,0.43384357566031995,0.47337389985403344,0.48094337443555946,0.3485062191086249,0.6279619864402228,0.5809025320641895,0.6069475478938633,0.5370053304053157,0.572360965962085,0.5261043179121857,0.586616779010757,0.0,0.3723294742116815,0.4868803023638191,0.4130389890520703,0.4964905667235638,0.5165421045124825,0.5175621274391079,0.614382648348445,0.40434267244071076,0.4902912727579419,0.4187974964120303,0.6665408816930889,0.5597918877438129,0.3687493083973434,0.4847427444883577,0.5787730590229494,0.30602738262364826,0.43581087513043304,0.5170109358692655,0.5567895783592727,0.5035827982051518,0.5120459969825287,0.6634400256182224,0.6317692569465513,0.534297998090863,0.6151152876989325,0.5216642232822729,0.3903152234181963,0.5073142070137551,0.5093772683246154,0.45548552261830516,0.4668910149586517,0.4310898206239371,0.5095995934314421,0.5701145235495577,0.452743283685264,0.4392605010316749,0.6756635968330078,0.5432937638522775,0.48405053773641904,0.6491266332728238,0.42012291761470505,0.46191494353800433,0.5437832206424219,0.4941307091984408,0.3924163171556842,0.5451085514098888,0.37395173229096007,0.4345301641209099,0.5543517854171972,0.48339233290378614,0.4002539144207894,0.43311883203414314,0.5796305550566508,0.5774025424528351,0.5788138339036666,0.585517455546509,0.5538596667860931,0.3975534026351755
IL1b ,0.47739297412931975,0.48434304142826323,0.5237991605528846,0.31764417397966005,0.49797487917086103,0.5221742095354163,0.6076169249963885,0.4971462072214169,0.4956455586801347,0.4060391413519514,0.4117797154637441,0.3723294742116815,0.0,0.6449096344280854,0.4527357703869373,0.5532889797406303,0.4322320323947079,0.5267495054739698,0.5274056526820028,0.4553586372366546,0.5924595078637239,0.5814538033590368,0.5654301131465467,0.5177069319817411,0.2986520829728283,0.3720124656130377,0.4929575413469458,0.2972570754813849,0.5160914123393325,0.4696335802803998,0.586398508971382,0.48249831910964697,0.5199815244622723,0.5355040737442343,0.6805111421382093,0.47024451578259935,0.5731843926857153,0.5671069454315331,0.5307962259817701,0.5743330343016555,0.4413676671737299,0.42835364826139455,0.536612989508763,0.5196507559903609,0.5728460018717163,0.42685874491675835,0.5458574347123916,0.5487166719136775,0.5738771156027724,0.41032201764564313,0.5170196653905106,0.57805616957198,0.4727283842098632,0.5587551919575585,0.532884421123492,0.4192394282613043,0.5511016183753921,0.5270173248136367,0.5267372920138291,0.43974001113081085,0.45064617715715427,0.5185880995641038,0.4401387742461708,0.44386309846614486,0.6031196807795138,0.5929734823719657,0.5671463220515295,0.5818899305873555,0.5409340853176916,0.4645951319502242
IL1RA ,0.5735543949526377,0.5645444069802317,0.5437679027019043,0.613977551788942,0.5165466614358707,0.4846020590727632,0.5023982064774186,0.5571778644403869,0.47175052134770173,0.5286296741477062,0.49749693449283394,0.4868803023638191,0.6449096344280854,0.0,0.4384558543040378,0.5171089888947173,0.5691925345856536,0.5591059953219134,0.4327472780235894,0.5556634977335777,0.41076521206123817,0.583269095131674,0.3897911471978307,0.46217467070710916,0.6086791068543018,0.6181029182175168,0.4376298164912647,0.5063228540659207,0.6275390137952422,0.5635618737497303,0.3912580611033728,0.602666810459859,0.40408839306956473,0.434354949961827,0.3522707594365252,0.43739213943806854,0.41485880990579155,0.33760698408231965,0.4907002693253132,0.3793792302301523,0.5357285136773371,0.5523250296031185,0.49271076562544797,0.4333742891969122,0.31513962146123065,0.5704476593665109,0.6486829083397894,0.5157886537362337,0.4543037736753674,0.48825949616934006,0.5486214037744209,0.41834943450895384,0.600227358444426,0.48558526684184167,0.5369562094087879,0.5825991168908661,0.5862629570879909,0.594353637156545,0.44494626205032756,0.6196890138746133,0.5345643441100144,0.475579933421727,0.602927500790931,0.6339734524584479,0.4846276154747496,0.4541010763186438,0.42722422639934926,0.5058533953874998,0.4550263061142821,0.5994481626269926
IL2 ,0.7376921160602217,0.7099330122529814,0.5159376642054374,0.2798032109793514,0.45543090831016203,0.40986338800190464,0.4475310960944661,0.5215867489602614,0.6307143400478461,0.3714236693478192,0.34127583136239054,0.4130389890520703,0.4527357703869373,0.4384558543040378,0.0,0.46288971147133284,0.4585071947531951,0.4943280925518131,0.6011033990687276,0.6363141542118307,0.686964565637639,0.5687288899604906,0.5199930908475123,0.3949656136365552,0.3714672067359257,0.4786803169229858,0.5095952297151372,0.36547920212399926,0.5442150036711263,0.4089622208997048,0.6869065376693678,0.5021992146350774,0.455602929443159,0.5316275441562963,0.47303179460944556,0.41335515147905366,0.45827303309793727,0.5427366822885512,0.4552559641769165,0.6417613686161545,0.6447839909870923,0.6693351397296599,0.5293769530781127,0.6552529708351597,0.44134787132372566,0.40183520292716024,0.6009220014464591,0.6179605029439709,0.40712422680895194,0.5627549224385474,0.46058395537985064,0.4487976647066916,0.4905055523209354,0.5367884521702795,0.4378914642366565,0.49586842747088633,0.5299110785832196,0.4628205368403038,0.4532534692826269,0.4425833317951144,0.4490723889852015,0.47663181239053215,0.4958256044632967,0.4573901789540111,0.44921801232782704,0.5048514024319227,0.46759976291810496,0.45632591201585887,0.5610155090314245,0.4831510650168103
IL3 ,0.5166373069966016,0.4829703221574001,0.5205058457359094,0.515633023270464,0.4371680299515222,0.4643031760285322,0.43342309662529677,0.37977680103758754,0.5456833551141494,0.4328401601613987,0.5106810147472196,0.4964905667235638,0.5532889797406303,0.5171089888947173,0.46288971147133284,0.0,0.6178640218912855,0.45071867643666685,0.4834671001186964,0.5496021462193905,0.5061764688749306,0.5380982629675446,0.522613299006212,0.44366352713616075,0.49283710985479506,0.5073291265046286,0.49178033995110454,0.4117466916167649,0.539291469406468,0.4627109253362915,0.5491907140751457,0.6376636291563116,0.5789620192596413,0.4996345420205247,0.3974835728033393,0.5493885606525644,0.4836514974884073,0.4933257101948211,0.39975110268615754,0.4858944482957996,0.5304683418149152,0.4773675854241899,0.6020136718987634,0.5141995102921949,0.5876423827947579,0.48447162733973687,0.4993859332076037,0.5003300589220536,0.4842460572341751,0.5802543058922589,0.476693292104129,0.4507217768902579,0.49960986012047415,0.4727537195063313,0.5709005462995194,0.5733520416485254,0.502667866570465,0.5825122050589069,0.4711491202872484,0.5487968313321663,0.5477041236255349,0.5393550474048125,0.40844140905338344,0.5334054620884346,0.5610795146918441,0.48073917826557205,0.5979515645330359,0.4930357885121674,0.5299379467714664,0.5288984727022669
IL4 ,0.5599405600546323,0.5969408393192386,0.4091934272031338,0.4039977502243025,0.494939150718331,0.4424972540137566,0.595604930043892,0.35983055851197104,0.543206073091033,0.44431666225088806,0.4676582819476313,0.5165421045124825,0.4322320323947079,0.5691925345856536,0.4585071947531951,0.6178640218912855,0.0,0.5651836216346524,0.7141280674880301,0.5246435866637542,0.6327549709223608,0.3526530772113489,0.5937870557065572,0.48106777555852276,0.3361037800399055,0.3357943790448662,0.5981517860555943,0.5863329060786836,0.3134007949501093,0.5247066843633591,0.5844319527147476,0.34768025210172476,0.5876153075834217,0.6768851425378754,0.6017834108624185,0.4409018899867847,0.6337922863852316,0.6387953145534272,0.49547384337770445,0.6161686615451571,0.6782388793968086,0.5808541646174852,0.5590181042667695,0.5281329142137406,0.34620464167887904,0.3636233692867173,0.4897732100128596,0.4875850627493743,0.5047747935641329,0.5696285774268619,0.4193468414672322,0.5141112202320375,0.4472817363490179,0.4340156815936271,0.49294846912487406,0.35431461484696863,0.266338240355033,0.4935233560920008,0.4142739312618926,0.4543217807805346,0.3665867225059597,0.5545555672436935,0.5180231756751128,0.5148467298638834,0.49212364476398934,0.5306582779514265,0.5375402175485725,0.5622017965203485,0.5817479774817865,0.3814554011489366
IL5 ,0.48645008817327906,0.5764113540224397,0.4369541772093394,0.5150374561892523,0.3468343416395131,0.5292885956948434,0.46799611906430966,0.43728958975388155,0.5073856763494168,0.5811014678607269,0.5843732207044697,0.5175621274391079,0.5267495054739698,0.5591059953219134,0.4943280925518131,0.45071867643666685,0.5651836216346524,0.0,0.5104320913495121,0.5772399160505073,0.41220741516403236,0.4527808768866812,0.5985214797866,0.3997600946343326,0.47023529534668246,0.47018614600281294,0.61119588660324,0.5455321334793655,0.4959584429660408,0.661445109503517,0.41536552178035613,0.5657873660727857,0.5624916239273173,0.4643731671488133,0.4767222286377583,0.4458201472248295,0.48196206154983484,0.4328692539733971,0.4200556667362148,0.5153408508689861,0.5003990389824873,0.5468711434181378,0.4782507071153328,0.6133536327505422,0.4423310030141042,0.5429934196005582,0.44314265397972963,0.3410810059409306,0.5508018880287366,0.5977505878430158,0.3630566446767577,0.40343796295195017,0.5339040702882929,0.4364493980400375,0.5894399552784968,0.46868516237867414,0.5126980822817093,0.6257142075164215,0.5555785688125705,0.5902694100759998,0.5642404129589657,0.6130071344489688,0.5619216186681676,0.5920378616445158,0.5164123269253422,0.42101065365208434,0.4537055221254971,0.5591860066775517,0.5747584759057127,0.5249653280237292
IL6 ,0.4861173711201958,0.47161988603049176,0.6244553908022882,0.647845206158696,0.5123770390589248,0.4923936663495734,0.3546471637847045,0.5129016474008714,0.3607247651630501,0.5838310910171776,0.41968185460084484,0.614382648348445,0.5274056526820028,0.4327472780235894,0.6011033990687276,0.4834671001186964,0.7141280674880301,0.5104320913495121,0.0,0.46907182217900084,0.38760222317880444,0.5571887300307908,0.26502979038466956,0.5406216165100647,0.5883850349073235,0.5692631198795941,0.4969377217375463,0.5684213339906433,0.666969607559837,0.517957033198327,0.4357749668407546,0.597843684077592,0.4734696478411788,0.18829716458722556,0.28443236433004293,0.4396578065740789,0.43782110776859573,0.21421201595971345,0.6119457043311433,0.3960883455057694,0.4274886919468607,0.5171737620591622,0.4900747906654447,0.4292932511858931,0.35783150043456324,0.44041674699122507,0.5679701632111999,0.596082886177328,0.5248972461723981,0.4197089207412745,0.6750138957553069,0.27596996065788504,0.6717669691960535,0.541925439758602,0.5480150287613406,0.6412494022478208,0.6872322999340641,0.6192634764441749,0.5998659648166318,0.6034596990339108,0.6039653003894956,0.5956606027360974,0.623990750244984,0.5996832879355511,0.535567056119918,0.5040941813696607,0.5784229467991744,0.48212742341827924,0.44329224585119614,0.6866754871056147
IL7 ,0.22939673048998604,0.28421419290110483,0.5050990527254253,0.4926023405662392,0.5701128032783167,0.5656098136421636,0.6129484447149598,0.5390816770593579,0.3781920697294189,0.5986106743609678,0.6280285361517861,0.40434267244071076,0.4553586372366546,0.5556634977335777,0.6363141542118307,0.5496021462193905,0.5246435866637542,0.5772399160505073,0.46907182217900084,0.0,0.3799969212414391,0.47657126859852095,0.6120646164932783,0.6300873501127171,0.4078476820886161,0.4362711771252933,0.5637081060423438,0.44747768126111237,0.45680157532397003,0.5342228984249406,0.5243025045451634,0.4358713815468288,0.5724533687749546,0.5653650421877309,0.594304918659367,0.4904909625645288,0.6131786013908627,0.5520549495415553,0.48033872323843146,0.3755390478944889,0.3313206879814025,0.2955543859123989,0.5693586396467316,0.44151030334125796,0.5614438784989907,0.5164518043758374,0.36395039310328137,0.4180177727255018,0.5842793575956364,0.5485866351072286,0.5425235348787812,0.591047141422419,0.5924879360490816,0.4279704889788182,0.5790599345417549,0.5527566788970867,0.4808233344621314,0.5904581441743666,0.5556743354918852,0.5528574688557155,0.6222187004849602,0.5746606747049641,0.5475802261231464,0.5139259686586956,0.5948385895244205,0.595664066258206,0.589084361304738,0.3592879595358542,0.4622516091417022,0.5857766668939272
