,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
IFNy ,0.5560189911435193,0.4983375320900321,0.40830482152884084,0.33301531419991515,0.28803931527515403,0.2720973125150089,0.29774856804407784,0.29992779277657144,0.40310673825322796,0.24281441081577082,0.0,0.4147801857767947,0.27709399656792677,0.33443738165516856,0.22030487795587272,0.36193773736428747,0.3233802581253671,0.43246147958741166,0.3007597402168375,0.5147509734911261,0.5347190550151582,0.4111198602710075,0.24731424862160617,0.31818074993334405,0.31295232770725534,0.29819951863428695,0.2696679697924559,0.26219125668318743,0.3859844820510766,0.39463603793573443,0.4178381971861353,0.33497215612871056,0.40686786197770386,0.2927637707695172,0.27352847569889355,0.2417029626004466,0.3114949190496754,0.33794216060591653,0.3549841009121384,0.48575493295237576,0.45286030783929554,0.5687057581510424,0.6181081795532777,0.47051110254653233,0.2795964855770574,0.16092736646894457,0.4955974586188965,0.605649903023761,0.2639331067958277,0.4477934359846167,0.42363981148122876,0.26010217283722925,0.409245580993959,0.5034971743640095,0.3835762183680661,0.4293436789943977,0.29279247180961904,0.41751256042155893,0.3772464871692246,0.41743865233340166,0.4732570459370065,0.44195226030537105,0.3704052706270816,0.44558814512621736,0.2569130371934695,0.413263992658933,0.4283036685302365,0.4873281739414044,0.43460127893483985,0.3813353579530269
IL1a ,0.44592317631385686,0.4452976079980844,0.4103294295665111,0.26686276594137925,0.4924005007464367,0.4488096241542945,0.4938116339445062,0.4272242402783944,0.4980431559649874,0.41309568558406146,0.4147801857767947,0.0,0.28619993991857323,0.3744733342437467,0.2854249404173634,0.3949304196330091,0.3051291622304516,0.4249129474885867,0.4895888836464656,0.36072953162918603,0.44870310393810126,0.3119870143708986,0.5160499294240849,0.4365468308807744,0.2688159614320139,0.37793418949471114,0.3996904324985745,0.2264895096807295,0.33666773969762254,0.40560617860755777,0.4865322395154214,0.39307499012204783,0.4527947803922598,0.5456164743077142,0.47513394625865873,0.39187628253740026,0.5019691405719098,0.44325438181060606,0.27987815382646347,0.4465442863015654,0.49991394340948125,0.4792116432020184,0.5098015191278055,0.35588504824493833,0.38939614736088213,0.4509275619337122,0.41824556525667117,0.4409890199576898,0.5182508867327158,0.49621864449479364,0.3995425234439321,0.47483191347007037,0.3147469384560323,0.4213851073578878,0.47564001757358804,0.41664268751077566,0.2412847076486737,0.4428234456295306,0.2868848250469679,0.335238141432347,0.5128685748209553,0.4141494203147571,0.3004997360853022,0.34603427217273575,0.4593671583775987,0.49763502413645194,0.4833849750688829,0.5766544810384703,0.4782733428324172,0.28979045997942693
IL1b ,0.4862574816235894,0.4511663718433154,0.435385066759918,0.23229279722589713,0.37546766675204746,0.3869429026030528,0.477887667096511,0.38128131730861603,0.42358061718612117,0.30670274377110796,0.27709399656792677,0.28619993991857323,0.0,0.47510959601236946,0.29497978784303136,0.4175160499524393,0.3012462555478163,0.419046388479106,0.4051953384716163,0.39836920771724355,0.5290566572624602,0.41100180640959944,0.42094509340123926,0.387802852054436,0.19508587116140214,0.2786057545090719,0.32201081913058904,0.20703538065010457,0.38207476462299794,0.3542948054425965,0.5005090783540393,0.3617951414430173,0.4508973558573814,0.42706076970698315,0.4890019486221636,0.3278995424231616,0.4525888391299953,0.46878764328185907,0.35467580394118936,0.4933419204107272,0.44012836597002586,0.46020971484098494,0.5752794206741224,0.4158608119626842,0.418830349054441,0.3252497437176983,0.4927886023860739,0.5362662175408023,0.42189195973103866,0.37683433092070084,0.41388652906186835,0.40274568452048354,0.33678369076421955,0.4976823883662411,0.45650720220096397,0.3456325708696477,0.36368949325867495,0.414141850396654,0.38632472154644065,0.3250295970194953,0.4182397061960102,0.4332498103899502,0.3142234584666279,0.34228667727877365,0.46025110224360455,0.498230805042321,0.45999841480970605,0.5706071390909415,0.45643649892749,0.31883011559462765
IL1RA ,0.5687865515519539,0.5195822718434429,0.4521058879543537,0.44989074102214627,0.39015936773872484,0.35979782227474916,0.3962976033432584,0.42790393888464207,0.40428663239025386,0.3998726845457796,0.33443738165516856,0.3744733342437467,0.47510959601236946,0.0,0.2986608643475239,0.39182879134450566,0.4120059816933338,0.44517337582388117,0.3332527159814911,0.4820723184262871,0.37620790459813297,0.4132081747858647,0.2919554290703191,0.34686860448108225,0.4201409876944202,0.46362454805992437,0.28786768997846934,0.3518035649876394,0.46548057294434547,0.4258380310538956,0.33985083966202645,0.45267994878388906,0.3550204184925767,0.34773933237249727,0.2538742717408243,0.30588205194627194,0.32903487982864127,0.28339291495597635,0.3292609376468133,0.33232146113062655,0.5210966737892632,0.5661114116111551,0.5379409625822147,0.34810632691021637,0.23089622028597406,0.4351329413316855,0.5800459106573214,0.5080953550369371,0.3346521918743344,0.4427528909100918,0.43949929226288514,0.2927407189165333,0.4283665944018158,0.4364820942529001,0.46031561596067705,0.47759753291994866,0.3623244352998076,0.46739459442669806,0.32699460612749365,0.4589263481231133,0.4896025729733044,0.3987019308138321,0.43115253112465657,0.4890658545761845,0.37065242578955004,0.3850781039381833,0.34865022247286,0.5054164559872111,0.38650821600979707,0.41139224495889204
IL2 ,0.7126371067215773,0.6553010308194415,0.3979756510185125,0.16652983468610405,0.28276973450301335,0.2894292906009118,0.3357715425801103,0.37887339284943766,0.5339856249214067,0.2604077264481601,0.22030487795587272,0.2854249404173634,0.29497978784303136,0.2986608643475239,0.0,0.3249325827055353,0.2827455217636671,0.3521070633857444,0.4443321411090043,0.5452487860719237,0.5622433135439854,0.34581039168154665,0.3715338484374571,0.2721375430803989,0.24458120941448075,0.3311347811172204,0.2988515506822334,0.2292464943130263,0.4004356530572088,0.27807567401293287,0.5473599620766539,0.37294016127545015,0.4293536962360768,0.44408058187517957,0.3093995084044065,0.27993961839118264,0.3271231396634122,0.41692272511723155,0.25398440794000093,0.5110654836530932,0.6449512494331489,0.6730068126957781,0.5753185718783916,0.4608744338728423,0.31850981689314145,0.2933901877152787,0.5222461967933083,0.5394676154842033,0.2885515904878153,0.5354533178059458,0.3527708338197193,0.3087816570816975,0.3005264008547235,0.4337141698981891,0.3229918806361114,0.3824239506154764,0.28587433564590103,0.3200015671465074,0.3088794804668371,0.28967626061801266,0.39058124938195493,0.3560233139625193,0.3214735897700677,0.32096740074319274,0.3163241377827607,0.41489654491119193,0.34948819514199414,0.45904834608903716,0.4934147598745347,0.28080470128776613
IL3 ,0.5193160154895321,0.457473933648631,0.457002415833975,0.3939972586478021,0.3487620473571805,0.35791315420732295,0.3552669069605958,0.30744741169825063,0.47754655321086337,0.3411215000372928,0.36193773736428747,0.3949304196330091,0.4175160499524393,0.39182879134450566,0.3249325827055353,0.0,0.4381184218558538,0.3730424545261041,0.38642725721795523,0.4781531368891554,0.46321315435459537,0.39812571967659205,0.40591035561946226,0.3504269110139104,0.3775833213473745,0.39899251434900707,0.34276876664067324,0.30314894408853243,0.4184688974204008,0.35223656737034426,0.4753413296989293,0.5004551080064383,0.5186905774466556,0.4134621045109368,0.3026230668903039,0.40601921047005285,0.3942660676889721,0.41959431663002367,0.2890649744247219,0.43076576052042065,0.5258894540853555,0.5026054511113413,0.6218807214391677,0.41190870590018436,0.4524695297245497,0.3793276799821163,0.4589133148119833,0.4956468516143656,0.37744530649302344,0.5273386658267516,0.40189234690626296,0.3358860366330808,0.3762180906713029,0.4249159998883674,0.5042030582039854,0.4912707547848365,0.37157652847924383,0.4646287351314361,0.36094727002093135,0.41219541405031496,0.5006046200688432,0.45733879203731265,0.3092014951157962,0.41567735884111706,0.450985340848121,0.4189741433722398,0.5122521208940564,0.49475527478015063,0.45461966461986997,0.38497955510921644
IL4 ,0.5855483059604393,0.5546223362571436,0.310604417059684,0.2926342341210788,0.34166313365909906,0.3356471722857531,0.4993765517716359,0.2610624447544595,0.49236312134519783,0.3481219374947947,0.3233802581253671,0.3051291622304516,0.3012462555478163,0.4120059816933338,0.2827455217636671,0.4381184218558538,0.0,0.4602763328384244,0.6083893494423205,0.46037343343665843,0.5826894432433252,0.2395435280020498,0.4967760628686,0.3838641729974767,0.24115583586043965,0.2438612196010182,0.3867433599566731,0.4061665433880926,0.22065195372882757,0.358270922860177,0.4972917975446603,0.26628562700267033,0.5361647417915997,0.6383287074824661,0.46478810846850654,0.3192000704103379,0.5452683389857778,0.6081829790094793,0.30054897212129006,0.5633107289499706,0.6828948942747188,0.5798141326104843,0.591284895945904,0.39693812402155554,0.2860871413718984,0.2750195252242381,0.45361717123570255,0.43301104180552175,0.41310846601996604,0.49393271333604494,0.30434564058661717,0.35718539642881236,0.3025070618967005,0.3766641376584662,0.36932441721907794,0.2546022887216518,0.20981067416779148,0.35050702650625043,0.28731918601806083,0.2924249874954647,0.30858469962632556,0.4121135214664135,0.36660004719206485,0.3519716864691318,0.39553394871766445,0.4183048406722617,0.4031613690865032,0.6310775413297928,0.47144960793285895,0.24919003568158754
IL5 ,0.4919080062491955,0.5420908392601815,0.3806287429378654,0.4082333314724135,0.28171315154242094,0.423451696686457,0.3914259905876821,0.35887154434483864,0.45037377422449,0.47113110648816314,0.43246147958741166,0.4249129474885867,0.419046388479106,0.44517337582388117,0.3521070633857444,0.3730424545261041,0.4602763328384244,0.0,0.41932508736040613,0.5188748824306878,0.383271880396572,0.35152158792213534,0.48054605546913265,0.3229851165141885,0.37742874245609687,0.3793107364668431,0.44164115427737016,0.4153416695594506,0.39674470195709355,0.5355806893037642,0.37115149052945984,0.45638024783881687,0.5048649195049085,0.3921306677913089,0.3737468172976213,0.34306829298918906,0.40417052130995557,0.375998983414636,0.3162553278522649,0.46108679842778016,0.4929438392493941,0.5593938374121896,0.5145124693249102,0.5191273564703246,0.3512704081537834,0.4431493420938772,0.4132689897963477,0.3499046372300235,0.43794338970864893,0.5515104436925986,0.3073504264821807,0.311673330545883,0.41497372288383955,0.4030294140384842,0.5245461227311754,0.40412482601727795,0.39007713567257307,0.5225701129170417,0.44093271017365954,0.470919517049343,0.5274702512385679,0.5352708840370144,0.43694675257955484,0.48731981657434126,0.4222397328894529,0.37095393122553455,0.3882642830772345,0.5546347805768207,0.5061043638948267,0.39706229156314676
IL6 ,0.49253693138284443,0.4438158065624988,0.531669738928449,0.49506437412152215,0.4021145727814466,0.38087002881368237,0.2889052045182027,0.40833778222893063,0.31700569528619227,0.4587445420917389,0.3007597402168375,0.4895888836464656,0.4051953384716163,0.3332527159814911,0.4443321411090043,0.38642725721795523,0.6083893494423205,0.41932508736040613,0.0,0.4167799671037964,0.35877825732477686,0.4139138213197203,0.20892572686480593,0.42193792194454605,0.43900752631238055,0.44409726518825066,0.34619566862002255,0.41486724738415043,0.5151558285182801,0.40665556677979997,0.38262182052545984,0.46693480427095985,0.4196538278575794,0.15567797131343364,0.21580173852839052,0.323949455510648,0.3576778737881925,0.18452026642620817,0.4317301937710143,0.3509346564862927,0.4268683263014375,0.5340276570449101,0.5300665111186462,0.35460754289203616,0.2741712339854663,0.34860980728121926,0.5195736155424817,0.5809738085840185,0.40323614092308896,0.38790522846201064,0.5570146837362278,0.20583168068802904,0.5013745925414435,0.49147993834600556,0.47947148986043236,0.5400382177386602,0.4704724489044408,0.5033378528244542,0.4596962005848344,0.4655476531332094,0.556766286641007,0.5093824850907361,0.4668195203376234,0.47943849611840406,0.42475424313596116,0.4354678027476139,0.4833329322618543,0.48438065345160053,0.38428841025300725,0.4945548406650821
IL7 ,0.2408732887482785,0.2757889428719489,0.4637340656281914,0.42834742842379014,0.4996015937956735,0.49171132288636255,0.54779790902058,0.4768765345163919,0.3513832927882927,0.5242219935115768,0.5147509734911261,0.36072953162918603,0.39836920771724355,0.4820723184262871,0.5452487860719237,0.4781531368891554,0.46037343343665843,0.5188748824306878,0.4167799671037964,0.0,0.3621474224734153,0.4099218287856316,0.5317858095786834,0.548737401030811,0.33771235412586065,0.38488335076978497,0.46087450453804835,0.3843501433765106,0.40056182078174585,0.46918991228729034,0.48805255287323224,0.38473301266574955,0.5357755166689855,0.5089565422731843,0.5078480954334164,0.4186647735724691,0.5489769450335309,0.5058234585566818,0.40467658883209,0.3505922654232124,0.332136842353835,0.3132419545207852,0.5877705502140772,0.39918107003781006,0.48513408814523773,0.455980044867956,0.3480269600925012,0.41797898476256057,0.5053467178862743,0.5229997279293054,0.48938121460756534,0.49741813409304975,0.504066622617995,0.40649040840263406,0.5391459467671231,0.5042523504393092,0.4091450594841187,0.5274778243677446,0.4810754323988487,0.48047335971257343,0.5973793658999291,0.528580400463978,0.4684521187005765,0.45615384809772147,0.5238293854486805,0.5503355996104122,0.5346440449303416,0.3639831373933923,0.42754922777769067,0.4890913661338727
