,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
IL1α,0.3578496994173975,0.4569812473908751,0.27272428529491555,0.2799723572370192,0.2407354621389215,0.3503408258840177,0.25492702863332084,0.4054486626603497,0.20716011032280113,0.29770165985047853,0.0,0.3058085369758651,0.1933034594064505,0.17318414133222948,0.23803140455768368,0.29092584731334026,0.27421404127143684,0.2489792716334775,0.3212846614033847,0.36161095812324445,0.24840754434810308,0.20847855581623642,0.12696855299616977,0.268472211155674,0.3403950535250785,0.1580571874039225,0.36444261541308154,0.4313039744653798,0.16617078308793815,0.4965480190096839,0.3751095237168375,0.32871951883346306,0.5466805943736381,0.3068244300834627,0.2975751616850099,0.2021497684311811,0.340892382578115
IL1β,0.5074768178479375,0.530914431028304,0.2813018396337582,0.3116170244885782,0.3352906538221363,0.45412577588366093,0.4354053524671433,0.5506039893670263,0.33778449762632656,0.38580345331132665,0.3058085369758651,0.0,0.2328061298728012,0.24847194833529979,0.23123612272396815,0.29867963000453346,0.160721110018062,0.26795069218671186,0.1439883927700637,0.40328338604510927,0.16402798653097206,0.20364920490592614,0.2505075669744754,0.29277835534711094,0.28657795437234135,0.17267551847164936,0.5736627261539172,0.5579922421815919,0.3265781872257155,0.611609413378025,0.4274038015820819,0.36877222785107583,0.641279220195016,0.37939380578161114,0.3116470262438856,0.15858832689382957,0.41731671480023363
IL1Ra/Ra2,0.29073100750383046,0.4423313433208415,0.16345388971398211,0.37391428049837083,0.16118267984993317,0.264714367608064,0.3011575782901402,0.3318139257348084,0.1704066699492789,0.3255032479437068,0.1933034594064505,0.2328061298728012,0.0,0.20909187852135758,0.24662093559985376,0.27398065778583836,0.23115438448807318,0.2647913619594333,0.22054274669250157,0.30355675590680953,0.24381085655629275,0.23920389999248015,0.16709666398857176,0.25704981073944766,0.38187849648513406,0.21587871714495177,0.37301523691676797,0.4524075112812971,0.16294467856046713,0.5412822243779134,0.3855112908803538,0.2011525237964391,0.4686698085164208,0.22598406961568113,0.2323119140289862,0.1931591841419399,0.27691406050676703
IL2,0.37014522211371087,0.44285831490842603,0.22973635435624706,0.21017476507042648,0.20788961167543046,0.4065062658306072,0.22074824604258225,0.4179372353541865,0.21180136050664933,0.21194038927440334,0.17318414133222948,0.24847194833529979,0.20909187852135758,0.0,0.23568282193831347,0.21690999068929284,0.1359583401947249,0.2348005357045025,0.24057167541716334,0.3833704138120322,0.17642332449688014,0.23467956695191267,0.0984501749120722,0.13825717278850103,0.3120367289765694,0.10456119438382161,0.4679418015490101,0.5068912535163193,0.21222234661736156,0.5161908407621586,0.32488528559183605,0.28642336462013746,0.5935690046416071,0.22365377005389314,0.2761645754001838,0.16359501107272845,0.31664219425164203
IL3,0.4305572690997532,0.5223774893618072,0.34891747735167045,0.2987549521287035,0.38046060750225313,0.4518623129649012,0.38344838610113363,0.5286913894786203,0.3504902148179652,0.39082039343157493,0.23803140455768368,0.23123612272396815,0.24662093559985376,0.23568282193831347,0.0,0.2629630237491146,0.25075250088089135,0.3873860536215172,0.2201300674759794,0.47597128990634147,0.14022659618639605,0.23387994763617387,0.2177342233171196,0.3068311849653349,0.3680352230318681,0.17961508678052668,0.5365094071760428,0.5497812955038882,0.32890014774862075,0.6814274744503448,0.4308386150931493,0.45171888536324817,0.6680388240419122,0.3853181894314309,0.39455929355116237,0.18934680436984602,0.4603876534193408
IL4,0.3592309078881687,0.4405873520114949,0.3797136979110124,0.2610152268247416,0.36486809564834766,0.44699218868219426,0.35333533218548147,0.4226754526406065,0.3180690070291843,0.31933641345354363,0.29092584731334026,0.29867963000453346,0.27398065778583836,0.21690999068929284,0.2629630237491146,0.0,0.18272795463400865,0.3803214760248916,0.2408703875588863,0.4492322027446346,0.21666745287293154,0.35693259610013,0.2606974733333459,0.29314171034600656,0.24405203277076398,0.24299038126949274,0.5235885232057179,0.4868512280686786,0.26344067350616396,0.5376641354233233,0.45051620730832626,0.4283714397540782,0.5036049205488576,0.30345922630798033,0.40229908764447797,0.13016907307011688,0.38561242076789676
IL5,0.45481044121248215,0.48508762335814515,0.2754326600543344,0.26819645704746276,0.2944795085367714,0.46502279277464015,0.3803334327441447,0.4911789835225964,0.3074978432325933,0.3256920576142114,0.27421404127143684,0.160721110018062,0.23115438448807318,0.1359583401947249,0.25075250088089135,0.18272795463400865,0.0,0.26607804142473224,0.1480354248455944,0.4181113640798968,0.1611873103093736,0.23252250824657972,0.18406705441456,0.21700770840478767,0.24090349665563693,0.12471653090853246,0.5581211453267091,0.5529562132516559,0.263008431020617,0.6047287234842426,0.43184504875102925,0.34008410658516974,0.6365362767385301,0.26188318106703506,0.2864882185890481,0.10583241293563428,0.3780698232728461
IL6,0.3284181046630266,0.3644862436954679,0.20115145637987014,0.28315026821419537,0.231087232856522,0.2721002432788041,0.31646260509693536,0.32171689666657316,0.2607703672001319,0.25356270415150906,0.2489792716334775,0.26795069218671186,0.2647913619594333,0.2348005357045025,0.3873860536215172,0.3803214760248916,0.26607804142473224,0.0,0.29511107872954917,0.20662329732536255,0.3367708288300121,0.25269486015018505,0.2609654635045804,0.21678092535582733,0.3537916513117355,0.26769908451046776,0.32764785562383375,0.3612984505788035,0.23202976992534496,0.4528720733668651,0.25296503857043084,0.20333912609821564,0.46069669070094516,0.1917944232371171,0.1532538617061338,0.3135843070481256,0.2573714740865811
IL7,0.4497429542573179,0.5416153864412661,0.26549316160317654,0.3001476463868412,0.33354978049851003,0.4311230382800737,0.4552335673986152,0.49724162189870474,0.3262417306927595,0.36667253107155073,0.3212846614033847,0.1439883927700637,0.22054274669250157,0.24057167541716334,0.2201300674759794,0.2408703875588863,0.1480354248455944,0.29511107872954917,0.0,0.3905003223678387,0.19033936311213528,0.2603040970530943,0.26402125031560864,0.222422496800394,0.2654282249139809,0.19817407274296156,0.5730297347904119,0.5542190991939138,0.3053781091290732,0.6101105495637428,0.4427055836638436,0.3866436950211738,0.597473573343801,0.3075958356599813,0.3184332066506891,0.14908054052548964,0.36893324817211404
IL8,0.2243314953189976,0.23789306064698423,0.2509602488898155,0.39214446463571495,0.26053372292110144,0.2945548679715765,0.3470579770050147,0.1994279474149112,0.3143292223919244,0.320020580794421,0.36161095812324445,0.40328338604510927,0.30355675590680953,0.3833704138120322,0.47597128990634147,0.4492322027446346,0.4181113640798968,0.20662329732536255,0.3905003223678387,0.0,0.46712733200697854,0.3800140534763412,0.37936631281973476,0.38098234316874946,0.4920248716441094,0.4353884289438331,0.24584929647191872,0.2895848424821945,0.2657778571855113,0.33979400915155866,0.21883498816423314,0.19597359617278043,0.24690349564202407,0.19334704590538337,0.18492908856475476,0.4599970211665981,0.21967539115591755
